,o_state_id,o_state_name,d_state_id,d_state_name,race,quintile,n
501,1,Alabama,24,Maryland,Asian,2,1
502,1,Alabama,24,Maryland,Asian,3,2
503,1,Alabama,24,Maryland,Asian,4,2
504,1,Alabama,24,Maryland,Asian,5,3
505,1,Alabama,24,Maryland,Black,1,62
506,1,Alabama,24,Maryland,Black,2,42
507,1,Alabama,24,Maryland,Black,3,26
508,1,Alabama,24,Maryland,Black,4,19
509,1,Alabama,24,Maryland,Black,5,11
510,1,Alabama,24,Maryland,Hispanic,1,4
511,1,Alabama,24,Maryland,Hispanic,2,1
512,1,Alabama,24,Maryland,Hispanic,3,3
513,1,Alabama,24,Maryland,Hispanic,4,1
514,1,Alabama,24,Maryland,Hispanic,5,4
515,1,Alabama,24,Maryland,Other,1,8
516,1,Alabama,24,Maryland,Other,2,9
517,1,Alabama,24,Maryland,Other,3,6
518,1,Alabama,24,Maryland,Other,4,8
519,1,Alabama,24,Maryland,Other,5,5
520,1,Alabama,24,Maryland,White,1,38
521,1,Alabama,24,Maryland,White,2,37
522,1,Alabama,24,Maryland,White,3,58
523,1,Alabama,24,Maryland,White,4,77
524,1,Alabama,24,Maryland,White,5,104
525,1,Alabama,25,Massachusetts,Asian,1,4
526,1,Alabama,25,Massachusetts,Asian,2,1
527,1,Alabama,25,Massachusetts,Asian,3,5
528,1,Alabama,25,Massachusetts,Asian,4,7
529,1,Alabama,25,Massachusetts,Asian,5,6
530,1,Alabama,25,Massachusetts,Black,1,59
531,1,Alabama,25,Massachusetts,Black,2,47
532,1,Alabama,25,Massachusetts,Black,3,20
533,1,Alabama,25,Massachusetts,Black,4,13
534,1,Alabama,25,Massachusetts,Black,5,3
535,1,Alabama,25,Massachusetts,Hispanic,1,3
536,1,Alabama,25,Massachusetts,Hispanic,2,6
537,1,Alabama,25,Massachusetts,Hispanic,3,6
538,1,Alabama,25,Massachusetts,Hispanic,4,3
539,1,Alabama,25,Massachusetts,Hispanic,5,6
540,1,Alabama,25,Massachusetts,Other,1,14
541,1,Alabama,25,Massachusetts,Other,2,9
542,1,Alabama,25,Massachusetts,Other,3,7
543,1,Alabama,25,Massachusetts,Other,4,4
544,1,Alabama,25,Massachusetts,Other,5,5
545,1,Alabama,25,Massachusetts,White,1,38
546,1,Alabama,25,Massachusetts,White,2,49
547,1,Alabama,25,Massachusetts,White,3,70
548,1,Alabama,25,Massachusetts,White,4,86
549,1,Alabama,25,Massachusetts,White,5,189
550,1,Alabama,26,Michigan,Asian,1,1
551,1,Alabama,26,Michigan,Asian,2,0
552,1,Alabama,26,Michigan,Asian,3,2
553,1,Alabama,26,Michigan,Asian,4,2
554,1,Alabama,26,Michigan,Asian,5,5
555,1,Alabama,26,Michigan,Black,1,305
556,1,Alabama,26,Michigan,Black,2,167
557,1,Alabama,26,Michigan,Black,3,47
558,1,Alabama,26,Michigan,Black,4,21
559,1,Alabama,26,Michigan,Black,5,10
560,1,Alabama,26,Michigan,Hispanic,1,11
561,1,Alabama,26,Michigan,Hispanic,2,8
562,1,Alabama,26,Michigan,Hispanic,3,0
563,1,Alabama,26,Michigan,Hispanic,4,2
564,1,Alabama,26,Michigan,Hispanic,5,4
565,1,Alabama,26,Michigan,Other,1,43
566,1,Alabama,26,Michigan,Other,2,21
567,1,Alabama,26,Michigan,Other,3,10
568,1,Alabama,26,Michigan,Other,4,6
569,1,Alabama,26,Michigan,Other,5,5
570,1,Alabama,26,Michigan,White,1,100
571,1,Alabama,26,Michigan,White,2,107
